8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
8,8,8,8,8,8,8,8,8,8,8,8,8,15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
8,8,8,8,8,8,8,8,8,8,8,8,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16
8,8,8,8,8,8,15,15,15,15,15,16,-1,-1,-1,-1,21,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,22,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,22,23,-1,-1,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,8,8,8,8,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,22,23,-1,-1,-1,-1,-1,-1,7,8,8,8,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,1,1,1,1,1,1,1,1,2
8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,1,1,1,1,2,4,5,5,5,5,5,5,6,0,1,2,-1,-1,7,8,8,8,8,8,8,8,8,8,8,8,9
8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,0,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,0,1,2,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,14,8,9,0,2,7,8,8,8,8,8,8,8,8,8,8,8,9
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,7,-1,9,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,9,7,-1,7,8,8,8,8,8,8,8,8,8,8,8,9
8,8,8,8,8,8,8,8,8,8,8,8,8,7,-1,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,14,15,16,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,14,16,7,8,8,8,8,8,8,8,8,8,8,8,9
8,8,8,8,8,8,8,8,8,8,8,8,8,14,15,16,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,7,8,8,8,8,8,8,8,8,8,8,8,9
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,8,8,8,8,8,8,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,7,8,8,8,8,8,8,8,8,8,8,8,9
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15,15,15,15,15,15,15,15,15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,14,15,15,15,15,15,15,15,15,15,15,15,16
